run_id,scenario_id,label,expected_comm,predicted,actual_positive,predicted_positive,alerts_total,alerts_matching_comm,workload_exit_code,workload_timed_out,command,notes,monitor_log,workload_stdout,workload_stderr
pos_touch_locked_r01,pos_touch_locked,positive,touch,negative,1,0,0,0,0,0,touch test_file.locked,Create suspicious extension,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/pos_touch_locked_r01.monitor.log,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/pos_touch_locked_r01.workload.stdout.log,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/pos_touch_locked_r01.workload.stderr.log
pos_rename_locked_r01,pos_rename_locked,positive,mv,negative,1,0,0,0,0,0,printf 'hello' > doc.txt && mv doc.txt doc.locked,Suspicious rename event,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/pos_rename_locked_r01.monitor.log,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/pos_rename_locked_r01.workload.stdout.log,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/pos_rename_locked_r01.workload.stderr.log
pos_dd_urandom_r01,pos_dd_urandom,positive,dd,positive,1,1,11,11,0,0,dd if=/dev/urandom of=random.bin bs=1024 count=20 status=none,High-entropy write burst,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/pos_dd_urandom_r01.monitor.log,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/pos_dd_urandom_r01.workload.stdout.log,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/pos_dd_urandom_r01.workload.stderr.log
neg_touch_txt_r01,neg_touch_txt,negative,touch,negative,0,0,0,0,0,0,touch normal.txt,Benign file create,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/neg_touch_txt_r01.monitor.log,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/neg_touch_txt_r01.workload.stdout.log,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/neg_touch_txt_r01.workload.stderr.log
neg_dd_zero_r01,neg_dd_zero,negative,dd,negative,0,0,0,0,0,0,dd if=/dev/zero of=zero.bin bs=1024 count=20 status=none,Low-entropy writes,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/neg_dd_zero_r01.monitor.log,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/neg_dd_zero_r01.workload.stdout.log,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/neg_dd_zero_r01.workload.stderr.log
neg_plaintext_appends_r01,neg_plaintext_appends,negative,bash,negative,0,0,0,0,0,0,for i in $(seq 1 50); do echo line-$i >> notes.txt; done,Frequent but low-entropy appends,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/neg_plaintext_appends_r01.monitor.log,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/neg_plaintext_appends_r01.workload.stdout.log,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/neg_plaintext_appends_r01.workload.stderr.log
neg_archive_workload_r01,neg_archive_workload,negative,tar,negative,0,0,0,0,0,0,mkdir data && for i in $(seq 1 20); do echo data-$i > data/f$i.txt; done && tar -cf data.tar data,Benign archive workload,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/neg_archive_workload_r01.monitor.log,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/neg_archive_workload_r01.workload.stdout.log,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/neg_archive_workload_r01.workload.stderr.log
pos_touch_locked_r02,pos_touch_locked,positive,touch,positive,1,1,1,1,0,0,touch test_file.locked,Create suspicious extension,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/pos_touch_locked_r02.monitor.log,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/pos_touch_locked_r02.workload.stdout.log,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/pos_touch_locked_r02.workload.stderr.log
pos_rename_locked_r02,pos_rename_locked,positive,mv,negative,1,0,0,0,0,0,printf 'hello' > doc.txt && mv doc.txt doc.locked,Suspicious rename event,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/pos_rename_locked_r02.monitor.log,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/pos_rename_locked_r02.workload.stdout.log,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/pos_rename_locked_r02.workload.stderr.log
pos_dd_urandom_r02,pos_dd_urandom,positive,dd,negative,1,0,0,0,0,0,dd if=/dev/urandom of=random.bin bs=1024 count=20 status=none,High-entropy write burst,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/pos_dd_urandom_r02.monitor.log,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/pos_dd_urandom_r02.workload.stdout.log,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/pos_dd_urandom_r02.workload.stderr.log
neg_touch_txt_r02,neg_touch_txt,negative,touch,negative,0,0,0,0,0,0,touch normal.txt,Benign file create,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/neg_touch_txt_r02.monitor.log,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/neg_touch_txt_r02.workload.stdout.log,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/neg_touch_txt_r02.workload.stderr.log
neg_dd_zero_r02,neg_dd_zero,negative,dd,negative,0,0,0,0,0,0,dd if=/dev/zero of=zero.bin bs=1024 count=20 status=none,Low-entropy writes,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/neg_dd_zero_r02.monitor.log,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/neg_dd_zero_r02.workload.stdout.log,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/neg_dd_zero_r02.workload.stderr.log
neg_plaintext_appends_r02,neg_plaintext_appends,negative,bash,negative,0,0,0,0,0,0,for i in $(seq 1 50); do echo line-$i >> notes.txt; done,Frequent but low-entropy appends,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/neg_plaintext_appends_r02.monitor.log,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/neg_plaintext_appends_r02.workload.stdout.log,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/neg_plaintext_appends_r02.workload.stderr.log
neg_archive_workload_r02,neg_archive_workload,negative,tar,negative,0,0,0,0,0,0,mkdir data && for i in $(seq 1 20); do echo data-$i > data/f$i.txt; done && tar -cf data.tar data,Benign archive workload,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/neg_archive_workload_r02.monitor.log,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/neg_archive_workload_r02.workload.stdout.log,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/neg_archive_workload_r02.workload.stderr.log
pos_touch_locked_r03,pos_touch_locked,positive,touch,positive,1,1,1,1,0,0,touch test_file.locked,Create suspicious extension,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/pos_touch_locked_r03.monitor.log,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/pos_touch_locked_r03.workload.stdout.log,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/pos_touch_locked_r03.workload.stderr.log
pos_rename_locked_r03,pos_rename_locked,positive,mv,negative,1,0,0,0,0,0,printf 'hello' > doc.txt && mv doc.txt doc.locked,Suspicious rename event,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/pos_rename_locked_r03.monitor.log,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/pos_rename_locked_r03.workload.stdout.log,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/pos_rename_locked_r03.workload.stderr.log
pos_dd_urandom_r03,pos_dd_urandom,positive,dd,positive,1,1,11,11,0,0,dd if=/dev/urandom of=random.bin bs=1024 count=20 status=none,High-entropy write burst,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/pos_dd_urandom_r03.monitor.log,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/pos_dd_urandom_r03.workload.stdout.log,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/pos_dd_urandom_r03.workload.stderr.log
neg_touch_txt_r03,neg_touch_txt,negative,touch,negative,0,0,0,0,0,0,touch normal.txt,Benign file create,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/neg_touch_txt_r03.monitor.log,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/neg_touch_txt_r03.workload.stdout.log,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/neg_touch_txt_r03.workload.stderr.log
neg_dd_zero_r03,neg_dd_zero,negative,dd,negative,0,0,0,0,0,0,dd if=/dev/zero of=zero.bin bs=1024 count=20 status=none,Low-entropy writes,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/neg_dd_zero_r03.monitor.log,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/neg_dd_zero_r03.workload.stdout.log,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/neg_dd_zero_r03.workload.stderr.log
neg_plaintext_appends_r03,neg_plaintext_appends,negative,bash,negative,0,0,0,0,0,0,for i in $(seq 1 50); do echo line-$i >> notes.txt; done,Frequent but low-entropy appends,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/neg_plaintext_appends_r03.monitor.log,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/neg_plaintext_appends_r03.workload.stdout.log,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/neg_plaintext_appends_r03.workload.stderr.log
neg_archive_workload_r03,neg_archive_workload,negative,tar,negative,0,0,0,0,0,0,mkdir data && for i in $(seq 1 20); do echo data-$i > data/f$i.txt; done && tar -cf data.tar data,Benign archive workload,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/neg_archive_workload_r03.monitor.log,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/neg_archive_workload_r03.workload.stdout.log,/home/vaagish/src/CS380S-EBPF/ransomware-monitor/experiments/out/latest/logs/neg_archive_workload_r03.workload.stderr.log
